date,description,amount,merchant
2024-01-02,Monthly Netflix subscription,15.99,Netflix
2024-01-03,Grocery shopping,143.50,Whole Foods
2024-01-04,Uber ride to airport,67.80,Uber
2024-01-05,Team lunch at restaurant,312.00,The Capital Grille
2024-01-06,AWS cloud services bill,2340.00,Amazon Web Services
2024-01-07,Office supplies,45.20,Staples
2024-01-08,Flight to New York,890.00,Delta Airlines
2024-01-09,Hotel stay 3 nights,654.00,Marriott
2024-01-10,Coffee and snacks,8.75,Starbucks
2024-01-11,Software license renewal,299.00,Adobe
2024-01-12,Electricity bill,185.40,City Power Co
2024-01-13,Team building dinner,1250.00,Ruth's Chris
2024-01-14,Internet bill,79.99,Comcast
2024-01-15,Laptop accessories,234.50,Best Buy
2024-01-16,Parking fees,45.00,ParkWhiz
2024-01-17,Client entertainment,3200.00,Four Seasons Hotel
2024-01-18,Postage and shipping,23.40,FedEx
2024-01-19,Medical reimbursement,180.00,CVS Pharmacy
2024-01-20,Gym membership,49.99,Planet Fitness
2024-01-21,Conference registration,750.00,Eventbrite